keywords,frequency,total_score,avg_intensity,classification
결제 후 쿠키 뽑기,1,-6.308600297908227,3.0,Moderate Issue
자원 생산,1,-6.308600297908227,3.0,Moderate Issue
밸런스 조정 필요,1,-6.308600297908227,3.0,Moderate Issue
배경음,1,-6.308600297908227,3.0,Moderate Issue
사탕봉,1,-6.308600297908227,3.0,Moderate Issue
버닝 스파이스 쿠키,1,-6.308600297908227,3.0,Moderate Issue
퀘스트 진행 시간,1,-6.308600297908227,3.0,Moderate Issue
피해무적,1,-6.308600297908227,3.0,Moderate Issue
피로감,1,-6.308600297908227,3.0,Moderate Issue
좋은 쿠키 부족,1,-6.308600297908227,3.0,Moderate Issue
퀘스트 보상,1,-6.308600297908227,3.0,Moderate Issue
크리스탈 관리,1,-6.308600297908227,3.0,Moderate Issue
아이템 제작,1,-6.308600297908227,3.0,Moderate Issue
허점,1,-6.308600297908227,3.0,Moderate Issue
사탕 위치 변경,1,-6.308600297908227,3.0,Moderate Issue
가끔 개같음,1,-6.308600297908227,3.0,Moderate Issue
아이템 손실,1,-6.308600297908227,3.0,Moderate Issue
젤리베리 과수원,1,-6.308600297908227,3.0,Moderate Issue
비스트스토리,1,-6.308600297908227,3.0,Moderate Issue
마법사쿠키,1,-6.308600297908227,3.0,Moderate Issue
만료,1,-6.308600297908227,3.0,Moderate Issue
생산시간,1,-6.308600297908227,3.0,Moderate Issue
55뽑기,1,-6.308600297908227,3.0,Moderate Issue
물약 사용 문제,1,-6.308600297908227,3.0,Moderate Issue
이터널 뽑기,1,-6.308600297908227,3.0,Moderate Issue
뽑기 확률 감소,1,-6.308600297908227,3.0,Moderate Issue
현질 유저,1,-6.308600297908227,3.0,Moderate Issue
단조로움,1,-6.308600297908227,3.0,Moderate Issue
고처주새요,1,-6.308600297908227,3.0,Moderate Issue
무화과,1,-6.308600297908227,3.0,Moderate Issue
스페셜 쿠키,1,-6.308600297908227,3.0,Moderate Issue
로딩 중,1,-6.308600297908227,3.0,Moderate Issue
로그인실패,1,-6.308600297908227,3.0,Moderate Issue
비스트 필요 없음,1,-6.308600297908227,3.0,Moderate Issue
강제 금지,1,-6.308600297908227,3.0,Moderate Issue
운 이슈,1,-6.308600297908227,3.0,Moderate Issue
초보자 격차,1,-6.308600297908227,3.0,Moderate Issue
스토리 끊김,1,-6.308600297908227,3.0,Moderate Issue
고대급 쿠키,1,-6.308600297908227,3.0,Moderate Issue
업데이트 번거로움,1,-6.308600297908227,3.0,Moderate Issue
가구 배치,1,-6.308600297908227,3.0,Moderate Issue
쿠키 버림,1,-6.308600297908227,3.0,Moderate Issue
장비 제거,1,-6.308600297908227,3.0,Moderate Issue
장면 누락,1,-6.308600297908227,3.0,Moderate Issue
쿠키 전쟁,1,-6.308600297908227,3.0,Moderate Issue
혼란,1,-6.308600297908227,3.0,Moderate Issue
개편,1,-6.308600297908227,3.0,Moderate Issue
너무 달다,1,-6.308600297908227,3.0,Moderate Issue
낮은 사양,1,-6.308600297908227,3.0,Moderate Issue
진행 느림,1,-6.308600297908227,3.0,Moderate Issue
레벨 증가,1,-6.308600297908227,3.0,Moderate Issue
의상 큐브,1,-6.308600297908227,3.0,Moderate Issue
아레나 밸런스,1,-6.308600297908227,3.0,Moderate Issue
길드마스터,1,-6.308600297908227,3.0,Moderate Issue
어까,1,-6.308600297908227,3.0,Moderate Issue
아레나 판정,1,-6.308600297908227,3.0,Moderate Issue
원하는 쿠키 없음,1,-6.308600297908227,3.0,Moderate Issue
뽑기 재료,1,-6.308600297908227,3.0,Moderate Issue
재화 수급,1,-6.308600297908227,3.0,Moderate Issue
서버 점검,1,-6.308600297908227,3.0,Moderate Issue
서버 초기화,1,-6.308600297908227,3.0,Moderate Issue
해야 할 일 증가,1,-6.308600297908227,3.0,Moderate Issue
개스트로,1,-6.308600297908227,3.0,Moderate Issue
과대광고,1,-6.308600297908227,3.0,Moderate Issue
나이 선택창,1,-6.308600297908227,3.0,Moderate Issue
나가기 탭,1,-6.308600297908227,3.0,Moderate Issue
끝이 없음,1,-6.308600297908227,3.0,Moderate Issue
안드러남,1,-6.308600297908227,3.0,Moderate Issue
뽑기 천장,1,-6.308600297908227,3.0,Moderate Issue
뽑기 해택,1,-6.308600297908227,3.0,Moderate Issue
쿠키성 레벨 요구,1,-6.308600297908227,3.0,Moderate Issue
아이템 수급,1,-6.308600297908227,3.0,Moderate Issue
할 컨텐츠 부족,1,-6.308600297908227,3.0,Moderate Issue
터치 씹힘,1,-6.308600297908227,3.0,Moderate Issue
돈 필요,1,-6.308600297908227,3.0,Moderate Issue
100가,1,-6.308600297908227,3.0,Moderate Issue
30만원,1,-6.308600297908227,3.0,Moderate Issue
돈내,1,-6.308600297908227,3.0,Moderate Issue
도전 횟수,1,-6.308600297908227,3.0,Moderate Issue
다리 늘어남,1,-6.308600297908227,3.0,Moderate Issue
별,1,-6.308600297908227,3.0,Moderate Issue
친추 불편,1,-6.308600297908227,3.0,Moderate Issue
캐릭터 보이지 않음,1,-6.196152422706632,3.0,Moderate Issue
캐릭터 확률,1,-6.196152422706632,3.0,Moderate Issue
캐릭터 차이,1,-6.196152422706632,3.0,Moderate Issue
앱 문제,1,-6.196152422706632,3.0,Moderate Issue
마법세공 기회,1,-6.196152422706632,3.0,Moderate Issue
픽률 문제,1,-6.196152422706632,3.0,Moderate Issue
게임패스,1,-6.196152422706632,3.0,Moderate Issue
별 3개,1,-6.196152422706632,3.0,Moderate Issue
0으로 표시,1,-6.196152422706632,3.0,Moderate Issue
차고 업데이트 안됨,1,-6.196152422706632,3.0,Moderate Issue
돈 날림,1,-6.196152422706632,3.0,Moderate Issue
쓸모없는 아이템,1,-6.196152422706632,3.0,Moderate Issue
2시간 이상,1,-6.196152422706632,3.0,Moderate Issue
200만 크리스탈,1,-6.196152422706632,3.0,Moderate Issue
앱 꺼짐,1,-6.196152422706632,3.0,Moderate Issue
여캐,1,-6.196152422706632,3.0,Moderate Issue
스토어 툭김,1,-6.196152422706632,3.0,Moderate Issue
토핑 사라짐,1,-6.196152422706632,3.0,Moderate Issue
전략 부족,1,-6.196152422706632,3.0,Moderate Issue
액땜,1,-6.196152422706632,3.0,Moderate Issue
음성,1,-6.196152422706632,3.0,Moderate Issue
장난,1,-6.196152422706632,3.0,Moderate Issue
업데이트 소요 시간,1,-6.196152422706632,3.0,Moderate Issue
신규유저,1,-6.196152422706632,3.0,Moderate Issue
개념 없음,1,-6.196152422706632,3.0,Moderate Issue
악의,1,-6.196152422706632,3.0,Moderate Issue
용량 차지,1,-6.196152422706632,3.0,Moderate Issue
왕국 노래,1,-6.196152422706632,3.0,Moderate Issue
얻기 힘듦,1,-6.196152422706632,3.0,Moderate Issue
안 좋은 것,1,-6.196152422706632,3.0,Moderate Issue
과도한 등장,1,-6.196152422706632,3.0,Moderate Issue
앱 용량,1,-6.196152422706632,3.0,Moderate Issue
너무쌔고,1,-6.196152422706632,3.0,Moderate Issue
건물 강화,1,-6.196152422706632,3.0,Moderate Issue
너무약함,1,-6.196152422706632,3.0,Moderate Issue
저장용량 부족,1,-6.196152422706632,3.0,Moderate Issue
불공평,1,-6.196152422706632,3.0,Moderate Issue
시간 부족,1,-6.196152422706632,3.0,Moderate Issue
설 쿠 키,1,-6.196152422706632,3.0,Moderate Issue
복귀보상,1,-6.196152422706632,3.0,Moderate Issue
노다가,1,-6.196152422706632,3.0,Moderate Issue
쿠키 선택,1,-6.196152422706632,3.0,Moderate Issue
레벨업 불가,1,-6.196152422706632,3.0,Moderate Issue
구림,1,-6.196152422706632,3.0,Moderate Issue
랙,1,-6.196152422706632,3.0,Moderate Issue
걸림,1,-6.196152422706632,3.0,Moderate Issue
현질 필요,1,-6.196152422706632,3.0,Moderate Issue
본체 없음,1,-6.196152422706632,3.0,Moderate Issue
점검 지연,1,-6.196152422706632,3.0,Moderate Issue
점검,1,-6.196152422706632,3.0,Moderate Issue
전투화면,1,-6.196152422706632,3.0,Moderate Issue
전투력 저하,1,-6.196152422706632,3.0,Moderate Issue
전투 복잡성,1,-6.196152422706632,3.0,Moderate Issue
메인화면,1,-6.196152422706632,3.0,Moderate Issue
지급,1,-6.196152422706632,3.0,Moderate Issue
지루한 브금,1,-6.196152422706632,3.0,Moderate Issue
소리 안 나옴,1,-6.196152422706632,3.0,Moderate Issue
서버 업데이트 지연,1,-6.196152422706632,3.0,Moderate Issue
와파,1,-6.196152422706632,3.0,Moderate Issue
각성 확률,1,-6.196152422706632,3.0,Moderate Issue
골치 각성,1,-6.196152422706632,3.0,Moderate Issue
특정 쿠키군,1,-6.196152422706632,3.0,Moderate Issue
숙명의 쿠키커터,1,-6.196152422706632,3.0,Moderate Issue
난잡함,1,-6.196152422706632,3.0,Moderate Issue
사일런솔트,1,-6.196152422706632,3.0,Moderate Issue
오이스터,1,-6.196152422706632,3.0,Moderate Issue
로그인 대기시간,1,-6.196152422706632,3.0,Moderate Issue
사고 보상,1,-6.196152422706632,3.0,Moderate Issue
긴 로딩 시간,1,-6.196152422706632,3.0,Moderate Issue
길드 가입 미션,1,-6.196152422706632,3.0,Moderate Issue
현질 강요,1,-6.196152422706632,3.0,Moderate Issue
각성 다크카카오,1,-6.196152422706632,3.0,Moderate Issue
타일 설치,1,-6.196152422706632,3.0,Moderate Issue
현질 가격,1,-6.196152422706632,3.0,Moderate Issue
구미호맛,1,-6.196152422706632,3.0,Moderate Issue
쿠키 성능,1,-6.196152422706632,3.0,Moderate Issue
노움 사용 제한,1,-6.196152422706632,3.0,Moderate Issue
재료 생산,1,-6.196152422706632,3.0,Moderate Issue
쿠키 캐릭터,1,-6.196152422706632,3.0,Moderate Issue
네트워크 접속 오류,1,-6.196152422706632,3.0,Moderate Issue
쿠키 성능 차이,1,-6.196152422706632,3.0,Moderate Issue
게이지바 안뜸,1,-6.196152422706632,3.0,Moderate Issue
자동 수집,1,-6.196152422706632,3.0,Moderate Issue
버닝스파이스,1,-6.196152422706632,3.0,Moderate Issue
PC 껐다 키기,1,-6.196152422706632,3.0,Moderate Issue
60프레임,1,-6.196152422706632,3.0,Moderate Issue
쓸데없는 업데이트,1,-6.196152422706632,3.0,Moderate Issue
PC에서의 불편함,1,-6.196152422706632,3.0,Moderate Issue
마카롱 맛 쿠키 미출시,1,-6.196152422706632,3.0,Moderate Issue
0성,1,-6.196152422706632,3.0,Moderate Issue
콘텐츠 부족,1,-6.196152422706632,3.0,Moderate Issue
신화 캐릭터,1,-6.196152422706632,3.0,Moderate Issue
계정 변경 문제,1,-6.196152422706632,3.0,Moderate Issue
보석 사용,1,-6.196152422706632,3.0,Moderate Issue
보상 없음,1,-6.196152422706632,3.0,Moderate Issue
플레이리스트,1,-6.196152422706632,3.0,Moderate Issue
다운,1,-6.196152422706632,3.0,Moderate Issue
심심함,1,-6.196152422706632,3.0,Moderate Issue
극과극,1,-6.196152422706632,3.0,Moderate Issue
설탕노움,1,-6.196152422706632,3.0,Moderate Issue
성별,1,-6.196152422706632,3.0,Moderate Issue
리세,1,-6.196152422706632,3.0,Moderate Issue
리세나,1,-6.196152422706632,3.0,Moderate Issue
로그인 제한,1,-6.196152422706632,3.0,Moderate Issue
스토리 모드,1,-6.196152422706632,3.0,Moderate Issue
스토리 반복,1,-6.196152422706632,3.0,Moderate Issue
아폰버그,1,-6.196152422706632,3.0,Moderate Issue
아이템 과다,1,-6.196152422706632,3.0,Moderate Issue
회식,1,-6.196152422706632,3.0,Moderate Issue
배치 겹침,1,-6.196152422706632,3.0,Moderate Issue
발런스 차이,1,-6.196152422706632,3.0,Moderate Issue
스태미너,1,-6.196152422706632,3.0,Moderate Issue
고기 수급,1,-6.196152422706632,3.0,Moderate Issue
보이지 않음,1,-6.196152422706632,3.0,Moderate Issue
하위템,1,-6.196152422706632,3.0,Moderate Issue
하루 제한,1,-6.196152422706632,3.0,Moderate Issue
스태미나 젤리,1,-6.196152422706632,3.0,Moderate Issue
쿠키 배치,1,-6.196152422706632,3.0,Moderate Issue
필수캐,1,-6.196152422706632,3.0,Moderate Issue
닼카 쿠키,1,-6.196152422706632,3.0,Moderate Issue
확률 감소,1,-6.196152422706632,3.0,Moderate Issue
확장 아이템,1,-6.196152422706632,3.0,Moderate Issue
가치,1,-6.196152422706632,3.0,Moderate Issue
다이야 수급,1,-6.196152422706632,3.0,Moderate Issue
무큐,1,-6.196152422706632,3.0,Moderate Issue
미출현,1,-6.196152422706632,3.0,Moderate Issue
검색 기능,1,-6.196152422706632,3.0,Moderate Issue
쿠키 얻기,1,-6.196152422706632,3.0,Moderate Issue
환율,1,-6.196152422706632,3.0,Moderate Issue
비스트레이드 버그,1,-6.196152422706632,3.0,Moderate Issue
유료 아이템,1,-6.196152422706632,3.0,Moderate Issue
마름모 모양,1,-6.196152422706632,3.0,Moderate Issue
설치 느림,1,-6.196152422706632,3.0,Moderate Issue
닉네임 입력 오류,1,-6.196152422706632,3.0,Moderate Issue
프레임,1,-6.196152422706632,3.0,Moderate Issue
버튼 없음,1,-6.196152422706632,3.0,Moderate Issue
기기 문제,1,-6.196152422706632,3.0,Moderate Issue
어지러움,1,-6.196152422706632,3.0,Moderate Issue
기다림,1,-6.196152422706632,3.0,Moderate Issue
기능 과다,1,-6.196152422706632,3.0,Moderate Issue
혈질 유도,1,-6.196152422706632,3.0,Moderate Issue
주지 않음,1,-6.196152422706632,3.0,Moderate Issue
상위템,1,-6.196152422706632,3.0,Moderate Issue
칙칙한 화면,1,-6.196152422706632,3.0,Moderate Issue
가만히,1,-6.196152422706632,3.0,Moderate Issue
버전 차이,1,-6.196152422706632,3.0,Moderate Issue
버즈 연결,1,-6.196152422706632,3.0,Moderate Issue
시도,1,-6.196152422706632,3.0,Moderate Issue
버전 오류,1,-6.196152422706632,3.0,Moderate Issue
출현하지 않음,1,-6.196152422706632,3.0,Moderate Issue
닉네임,1,-6.196152422706632,3.0,Moderate Issue
서버 문제,2,-6.12024253367365,3.0,Moderate Issue
고대의 전승,3,-5.916137960188517,4.0,Moderate Issue
결제,2,-5.771375848326198,3.5,Moderate Issue
조작감,2,-5.68181345515567,5.0,Moderate Issue
스토리 길이,1,-5.634067406133934,3.0,Moderate Issue
광고 닫기 버튼,1,-5.610347335899436,3.0,Moderate Issue
다양성,1,-5.603709632211521,3.0,Moderate Issue
색감,1,-5.603709632211521,3.0,Moderate Issue
느린 로딩,1,-5.54510336597908,3.0,Moderate Issue
덱,1,-5.534213880670721,3.0,Moderate Issue
퀘스트 진행,1,-5.415109914420283,3.0,Moderate Issue
골드치즈 맛 쿠키,1,-5.415109914420283,3.0,Moderate Issue
이벤트 확률,1,-5.384752140497869,3.0,Moderate Issue
최적화 필요,1,-5.384752140497869,3.0,Moderate Issue
캐릭터 없음,1,-5.345614162879484,3.0,Moderate Issue
쿠키뽑기,1,-5.345614162879484,3.0,Moderate Issue
안깔아짐,1,-5.345614162879484,3.0,Moderate Issue
업데이트 불가,1,-5.345614162879484,3.0,Moderate Issue
업데이트 요구,1,-5.345614162879484,3.0,Moderate Issue
챕터,1,-5.290452281602251,3.0,Moderate Issue
스킨 부족,1,-5.290452281602251,3.0,Moderate Issue
300뽑기,1,-5.290452281602251,3.0,Moderate Issue
코드 지연,1,-5.290452281602251,3.0,Moderate Issue
팔레트 스왑,1,-5.290452281602251,3.0,Moderate Issue
속상함,1,-5.290452281602251,3.0,Moderate Issue
좋은 쿠키 없음,1,-5.290452281602251,3.0,Moderate Issue
조절,1,-5.290452281602251,3.0,Moderate Issue
스토리 진행 어려움,1,-5.290452281602251,3.0,Moderate Issue
다운속도,1,-5.290452281602251,3.0,Moderate Issue
쿠키 성장,1,-5.290452281602251,3.0,Moderate Issue
쿠키 수,1,-5.290452281602251,3.0,Moderate Issue
보스 패턴,1,-5.290452281602251,3.0,Moderate Issue
아이템 차이,1,-5.290452281602251,3.0,Moderate Issue
용쿠 영혼석,1,-5.196152422706632,3.0,Moderate Issue
구매 불가,1,-5.196152422706632,3.0,Moderate Issue
공격 오류,1,-5.196152422706632,3.0,Moderate Issue
특정 쿠키,1,-5.196152422706632,3.0,Moderate Issue
골드 치즈 쿠키,1,-5.196152422706632,3.0,Moderate Issue
데이터 다운로드,1,-5.196152422706632,3.0,Moderate Issue
레벨 표기 오류,1,-5.196152422706632,3.0,Moderate Issue
내 쿠키 없음,1,-5.196152422706632,3.0,Moderate Issue
젤리워커,1,-5.196152422706632,3.0,Moderate Issue
플레이 스토어 광고,1,-5.196152422706632,3.0,Moderate Issue
실수,1,-5.196152422706632,3.0,Moderate Issue
생명물약,1,-5.196152422706632,3.0,Moderate Issue
쉐이크밀크,1,-5.196152422706632,3.0,Moderate Issue
칸 부족,1,-5.196152422706632,3.0,Moderate Issue
추억팔이,1,-5.196152422706632,3.0,Moderate Issue
튜토리얼 지루함,1,-5.196152422706632,3.0,Moderate Issue
고쳐주길,1,-5.196152422706632,3.0,Moderate Issue
반복 패턴,1,-5.196152422706632,3.0,Moderate Issue
쿠키 목록 오류,1,-5.196152422706632,3.0,Moderate Issue
수준,1,-5.196152422706632,3.0,Moderate Issue
무섭고 징그러움,1,-5.196152422706632,3.0,Moderate Issue
체력물약,1,-5.196152422706632,3.0,Moderate Issue
감동적인 후반부,1,-5.196152422706632,3.0,Moderate Issue
긴급 점검,1,-5.196152422706632,3.0,Moderate Issue
두번째 용,1,-5.196152422706632,3.0,Moderate Issue
비스킷 보관소,1,-5.196152422706632,3.0,Moderate Issue
앱 데이터,1,-5.196152422706632,3.0,Moderate Issue
통신 끊김,1,-5.196152422706632,3.0,Moderate Issue
마을 꾸미기,1,-5.196152422706632,3.0,Moderate Issue
마일리지 포인트,1,-5.196152422706632,3.0,Moderate Issue
쉐밀 떨락,1,-5.196152422706632,3.0,Moderate Issue
스토리 소리 안 들림,1,-5.196152422706632,3.0,Moderate Issue
경험치 사탕,1,-5.196152422706632,3.0,Moderate Issue
운 테스트,1,-5.196152422706632,3.0,Moderate Issue
빠른 변화,1,-5.196152422706632,3.0,Moderate Issue
피곤함,1,-5.196152422706632,3.0,Moderate Issue
게임 안됨,2,-5.0,4.0,Moderate Issue
요청,2,-4.90057184469627,2.5,Minor / Noise
코인,2,-4.894386735535132,2.5,Minor / Noise
골드치즈 쿠키,2,-4.894386735535132,2.5,Minor / Noise
획득 어려움,2,-4.894386735535132,2.5,Minor / Noise
방치형,2,-4.868721564745052,2.5,Minor / Noise
서버 통일,2,-4.853708402258251,2.5,Minor / Noise
보유 쿠키,2,-4.8430563939549724,2.5,Minor / Noise
업데이트 요청,2,-4.781938860333537,2.5,Minor / Noise
미션,2,-4.781938860333537,2.5,Minor / Noise
단순함,2,-4.781938860333537,2.5,Minor / Noise
업그레이드 시간,2,-4.649251852199616,2.5,Minor / Noise
뽑기 운,3,-4.088691566578377,4.0,General Issue
자주,1,-3.8979054826323263,2.0,Minor / Noise
이터널슈가,11,-3.832532179921012,2.909090909090909,General Issue
잘안돼요,1,-3.8284271247461903,2.0,Minor / Noise
밀키웨이,1,-3.8284271247461903,2.0,Minor / Noise
반복 플레이,2,-3.8229719617565063,3.0,Minor / Noise
소리 문제,2,-3.741260527056656,2.5,Minor / Noise
작동하지 않음,2,-3.710524086554911,3.0,Minor / Noise
흥미 저하,2,-3.710524086554911,3.0,Minor / Noise
취소,2,-3.598076211353316,3.0,Minor / Noise
쉐도우 밀크,3,-3.413829669095076,2.3333333333333335,General Issue
비스킷 능력 수정,1,-3.0667978492164663,2.0,Minor / Noise
개편 요청,1,-3.0667978492164663,2.0,Minor / Noise
복각,1,-2.9824181494866697,2.0,Minor / Noise
디자인 문제,1,-2.9824181494866697,2.0,Minor / Noise
스페셜 스킨,1,-2.9824181494866697,2.0,Minor / Noise
미니게임 재미 없음,1,-2.97252961183215,2.0,Minor / Noise
화이트아웃,1,-2.93108780790651,2.0,Minor / Noise
템 설치,1,-2.93108780790651,2.0,Minor / Noise
구매창,1,-2.909783791299952,2.0,Minor / Noise
케쉬템,1,-2.909783791299952,2.0,Minor / Noise
복잡,1,-2.909783791299952,2.0,Minor / Noise
지팡이 사라짐,1,-2.909783791299952,2.0,Minor / Noise
덱 고정,1,-2.87975746632635,2.0,Minor / Noise
날먹,1,-2.87975746632635,2.0,Minor / Noise
쿠키 줄이기,1,-2.87975746632635,2.0,Minor / Noise
선물하기,1,-2.87975746632635,2.0,Minor / Noise
로스터,1,-2.87975746632635,2.0,Minor / Noise
명란한 쿠키,1,-2.87975746632635,2.0,Minor / Noise
클랜,1,-2.87975746632635,2.0,Minor / Noise
명랑한맛,1,-2.87975746632635,2.0,Minor / Noise
뽑기 시간,1,-2.87975746632635,2.0,Minor / Noise
수동적,1,-2.87975746632635,2.0,Minor / Noise
새로고침,1,-2.87975746632635,2.0,Minor / Noise
할 일,1,-2.87975746632635,2.0,Minor / Noise
창의성 부족,1,-2.87975746632635,2.0,Minor / Noise
다운로드 시간,3,-2.858453449719792,2.0,General Issue
데이터 과다 사용,1,-2.8284271247461903,2.0,Minor / Noise
각성 없음,1,-2.8284271247461903,2.0,Minor / Noise
스킵 버튼,1,-2.8284271247461903,2.0,Minor / Noise
각성 세인트릴리,1,-2.8284271247461903,2.0,Minor / Noise
엄뎃,1,-2.8284271247461903,2.0,Minor / Noise
샤인쉘맛 쿠키,1,-2.8284271247461903,2.0,Minor / Noise
레고,1,-2.8284271247461903,2.0,Minor / Noise
혼자,1,-2.8284271247461903,2.0,Minor / Noise
잘 안 함,1,-2.8284271247461903,2.0,Minor / Noise
퍼즐 보상,1,-2.8284271247461903,2.0,Minor / Noise
폰 성능,1,-2.8284271247461903,2.0,Minor / Noise
바닐라 맛,1,-2.8284271247461903,2.0,Minor / Noise
루틴,1,-2.8284271247461903,2.0,Minor / Noise
광고 건너뛰기,1,-2.8284271247461903,2.0,Minor / Noise
무료 게임,1,-2.8284271247461903,2.0,Minor / Noise
부정적인 리뷰,1,-2.8284271247461903,2.0,Minor / Noise
클리어 보상,1,-2.8284271247461903,2.0,Minor / Noise
기간,1,-2.8284271247461903,2.0,Minor / Noise
원초의소명,1,-2.8284271247461903,2.0,Minor / Noise
갯수 안줄어듦,1,-2.8284271247461903,2.0,Minor / Noise
장면,1,-2.8284271247461903,2.0,Minor / Noise
잼스톤 부족,1,-2.8284271247461903,2.0,Minor / Noise
비추천,1,-2.8284271247461903,2.0,Minor / Noise
조작법,1,-2.8284271247461903,2.0,Minor / Noise
성공 표시,1,-2.8284271247461903,2.0,Minor / Noise
마띠고,1,-2.8284271247461903,2.0,Minor / Noise
전용 카드,1,-2.8284271247461903,2.0,Minor / Noise
오래 걸림,1,-2.8284271247461903,2.0,Minor / Noise
당황,1,-2.8284271247461903,2.0,Minor / Noise
눈부심,1,-2.8284271247461903,2.0,Minor / Noise
완료 문제,1,-2.8284271247461903,2.0,Minor / Noise
단순 클릭,1,-2.8284271247461903,2.0,Minor / Noise
단축키,1,-2.8284271247461903,2.0,Minor / Noise
사운드,1,-2.8284271247461903,2.0,Minor / Noise
사용 불가,1,-2.8284271247461903,2.0,Minor / Noise
배속,1,-2.8284271247461903,2.0,Minor / Noise
코드,1,-2.8284271247461903,2.0,Minor / Noise
대화,1,-2.8284271247461903,2.0,Minor / Noise
빛,1,-2.8284271247461903,2.0,Minor / Noise
번쩍임,1,-2.8284271247461903,2.0,Minor / Noise
보석 수급,1,-2.8284271247461903,2.0,Minor / Noise
보상 이벤트,2,-2.598076211353316,3.0,Minor / Noise
개선,2,-2.354620881255526,2.0,Minor / Noise
에이션트 쿠키,2,-1.7584910006917696,4.0,Minor / Noise
퀘스트,3,-1.389634014920273,3.0,General Issue
데이터 날아감,2,-1.362960326119527,4.0,Minor / Noise
아이폰,2,-1.3086002979082272,3.5,Minor / Noise
계정 불러오기,2,-1.1814801630597636,4.0,Minor / Noise
킹덤 아레나,2,-1.0,4.0,Minor / Noise
쿠폰 사용,3,-0.8792455003458848,3.0,General Issue
전설 쿠키,2,-0.8668055762253353,5.0,Minor / Noise
복귀유저 보상,2,-0.7987591452988365,4.0,Minor / Noise
각성 퓨바,4,-0.35763697779703163,3.25,General Issue
데이터,2,-0.06577779027870623,3.0,Minor / Noise
고급 뽑기,3,-0.05305796450193512,3.3333333333333335,General Issue
로딩 화면,2,0.28970106605043533,2.0,Minor / Noise
점검 보상,2,0.424045221568079,4.5,Minor / Noise
축복,1,0.5,1.0,Minor / Noise
출시,1,0.5,1.0,Minor / Noise
왕국,1,0.5,1.0,Minor / Noise
각퓨 초월,1,0.5,1.0,Minor / Noise
출시 여부,1,0.5,1.0,Minor / Noise
출시일,1,0.5,1.0,Minor / Noise
shadow milk,1,0.5,1.0,Minor / Noise
퓨어바닐라 쿠키,1,0.5,1.0,Minor / Noise
퓨바 초월,1,0.5,1.0,Minor / Noise
플레이 기간,1,0.5,1.0,Minor / Noise
셰도우밀크쿠키,1,0.5,1.0,Minor / Noise
사일런트 솔트,1,0.5,1.0,Minor / Noise
어린이,1,0.5,1.0,Minor / Noise
용안 드래곤,1,0.5,1.0,Minor / Noise
날라감,1,0.5,1.0,Minor / Noise
미스틱플라워 쿠키,1,0.5,1.0,Minor / Noise
검은 마법사,1,0.5,1.0,Minor / Noise
남자,1,0.5,1.0,Minor / Noise
쉐도우 실크쿠키,1,0.5,1.0,Minor / Noise
티라노사우루스 쿠키,1,0.5,1.0,Minor / Noise
구글포인트,1,0.5,1.0,Minor / Noise
BTS,1,0.5,1.0,Minor / Noise
시간 요청,1,0.5,1.0,Minor / Noise
비밀번호,1,0.5,1.0,Minor / Noise
시간지기쿠키,1,0.5,1.0,Minor / Noise
스토리 건의,1,0.5,1.0,Minor / Noise
1대1 기능,1,0.5,1.0,Minor / Noise
300 뽑기,1,0.5,1.0,Minor / Noise
콘텐츠 제안,1,0.5,1.0,Minor / Noise
아이디 사라짐,1,0.5090740081529882,1.0,Minor / Noise
신규 비스트,1,0.5090740081529882,1.0,Minor / Noise
케이크,1,0.5090740081529882,1.0,Minor / Noise
티니핑,1,0.5090740081529882,1.0,Minor / Noise
태권도 쿠키,1,0.5090740081529882,1.0,Minor / Noise
강제 알람,1,0.5090740081529882,1.0,Minor / Noise
소식,1,0.5090740081529882,1.0,Minor / Noise
조언,1,0.5090740081529882,1.0,Minor / Noise
중력맛쿠키,1,0.5090740081529882,1.0,Minor / Noise
쥬얼,1,0.5090740081529882,1.0,Minor / Noise
이벤트 요청,1,0.5090740081529882,1.0,Minor / Noise
쿠킹덤,1,0.5090740081529882,1.0,Minor / Noise
계정 찾기,1,0.5090740081529882,1.0,Minor / Noise
복사꽃,1,0.5090740081529882,1.0,Minor / Noise
해제,1,0.5143819626537244,1.0,Minor / Noise
독점 욕구,1,0.5143819626537244,1.0,Minor / Noise
문의 방법,1,0.5143819626537244,1.0,Minor / Noise
방법,1,0.5143819626537244,1.0,Minor / Noise
미리보기,1,0.5143819626537244,1.0,Minor / Noise
밤낮 기능,1,0.5210691944636603,1.0,Minor / Noise
딸기맛 쿠키,1,0.5234559708067125,1.0,Minor / Noise
튜토리얼 건너뛰기,1,0.5568648721633022,1.0,Minor / Noise
광고 스킵,1,1.4142135623730951,2.0,Minor / Noise
건너뛰기,1,1.4142135623730951,2.0,Minor / Noise
스토리 스킵,1,1.4142135623730951,2.0,Minor / Noise
크탈,1,1.4142135623730951,2.0,Minor / Noise
업글하기 버튼,1,1.4142135623730951,2.0,Minor / Noise
구매 기능,1,1.4142135623730951,2.0,Minor / Noise
골든치즈,1,1.4142135623730951,2.0,Minor / Noise
광고보기,1,1.4142135623730951,2.0,Minor / Noise
거래 시스템,1,1.4142135623730951,2.0,Minor / Noise
다시 시작,1,1.4142135623730951,2.0,Minor / Noise
비스트전,1,1.4142135623730951,2.0,Minor / Noise
키보드 제어,1,1.4142135623730951,2.0,Minor / Noise
